TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals;;;;;;;
org.apache.commons.text.lookup.JavaPlatformStringLookup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6636525759847908,332,205
org.apache.commons.text.lookup.StringLookupFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.864712278772537,427,388
org.apache.commons.text.lookup.LocalHostStringLookup,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7891287878787878,91,62
org.apache.commons.text.similarity.JaroWinklerDistance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7643849206349207,55,40
org.apache.commons.text.similarity.HammingDistance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8833333333333333,107,101
org.apache.commons.text.similarity.LevenshteinDetailedDistance,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8529934151079787,783,730
org.apache.commons.text.similarity.EditDistanceFrom,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.35,41,13
org.apache.commons.text.similarity.SimilarityScoreFrom,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.35,41,13
org.apache.commons.text.similarity.LongestCommonSubsequence,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8715748032370394,749,722
org.apache.commons.text.translate.CharSequenceTranslator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45045484701057453,245,76
org.apache.commons.text.translate.OctalUnescaper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839950980392157,284,275
org.apache.commons.text.diff.StringsComparator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7370519545737155,1107,1064
org.apache.commons.text.io.StringSubstitutorReader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.11259707579504534,681,10
